Car Brand,Model,Year,Mileage,Fuel Type,Engine Size,Transmission,Body Type,Color,Owner History,Price,Age
toyota,model b,2023,253407,electric,1.6,manual,sedan,gray,second owner,19667.91,0
mercedes,model a,2015,97479,hybrid,1.3,cvt,sedan,red,first owner,22580.19,8
honda,model b,2009,130864,petrol,4.2,automatic,suv,black,first owner,12610.02,14
mercedes,model b,2008,87723,diesel,2.3,automatic,suv,red,second owner,15922.11,15
ford,model e,2007,39062,petrol,3.1,cvt,sedan,blue,second owner,12428.26,16
bmw,model c,2013,293139,diesel,3.7,cvt,suv,blue,third owner,17634.7,10
ford,model c,2010,281237,hybrid,1.9,manual,truck,blue,third owner,11666.13,13
kia,model a,2004,268119,hybrid,1.8,automatic,hatchback,gray,second owner,5740.37,19
honda,model b,2017,209428,electric,3.0,manual,coupe,blue,third owner,18981.41,6
chevrolet,model c,2017,15393,electric,2.8,manual,truck,red,second owner,20161.79,6
nissan,model e,2002,130560,hybrid,4.3,cvt,hatchback,red,first owner,7623.42,21
mercedes,model c,2020,188962,electric,4.1,automatic,truck,black,first owner,23436.66,3
ford,model a,2010,209231,hybrid,4.2,manual,sedan,gray,second owner,11897.93,13
ford,model a,2001,172274,petrol,4.7,manual,coupe,white,third owner,7080.32,22
hyundai,model a,2015,51122,electric,1.9,manual,suv,gray,first owner,17702.68,8
kia,model c,2009,155683,electric,1.1,manual,hatchback,gray,third owner,12119.43,14
ford,model c,2016,24724,electric,2.9,cvt,truck,gray,first owner,18075.43,7
volkswagen,model c,2014,123416,diesel,3.0,cvt,truck,gray,second owner,13691.87,9
chevrolet,model b,2005,247043,petrol,3.6,manual,hatchback,black,second owner,6433.91,18
bmw,model e,2021,283481,diesel,1.7,cvt,sedan,black,first owner,21960.89,2
volkswagen,model c,2000,106001,electric,1.1,cvt,coupe,white,third owner,11821.99,23
kia,model c,2022,40890,diesel,2.7,manual,truck,gray,first owner,21163.17,1
kia,model d,2003,61463,petrol,4.4,manual,truck,white,second owner,8262.12,20
honda,model a,2012,61590,diesel,1.9,automatic,suv,red,third owner,14143.85,11
ford,model e,2007,258273,hybrid,1.4,manual,suv,black,first owner,8136.09,16
volkswagen,model e,2017,36588,petrol,1.2,automatic,suv,white,third owner,16470.68,6
honda,model b,2007,56486,electric,3.2,automatic,hatchback,blue,second owner,15685.55,16
volkswagen,model d,2010,229056,electric,4.6,cvt,hatchback,red,third owner,12060.74,13
ford,model c,2015,247385,hybrid,2.7,cvt,suv,gray,third owner,14158.81,8
honda,model b,2012,55317,electric,1.5,automatic,truck,white,second owner,18469.77,11
mercedes,model e,2023,206712,diesel,4.3,automatic,truck,red,third owner,22040.4,0
kia,model c,2009,143050,hybrid,3.7,cvt,coupe,gray,first owner,14622.51,14
toyota,model e,2015,73877,electric,2.1,automatic,hatchback,blue,first owner,17729.31,8
kia,model c,2006,86387,hybrid,2.3,automatic,hatchback,black,third owner,12671.84,17
mercedes,model d,2002,229688,petrol,2.5,cvt,sedan,black,first owner,11496.57,21
honda,model d,2007,214199,petrol,4.2,cvt,coupe,blue,second owner,8269.04,16
volkswagen,model e,2015,212023,hybrid,2.3,cvt,truck,blue,third owner,14064.32,8
honda,model c,2001,73114,hybrid,3.4,manual,hatchback,blue,first owner,8630.19,22
honda,model a,2019,132130,petrol,3.6,automatic,sedan,gray,first owner,19436.23,4
bmw,model e,2021,244719,diesel,3.5,manual,sedan,red,third owner,21179.36,2
ford,model d,2016,297561,diesel,2.8,automatic,coupe,blue,third owner,14759.68,7
volkswagen,model e,2006,255713,hybrid,2.8,automatic,truck,black,first owner,7153.6,17
bmw,model d,2005,222060,electric,2.0,cvt,hatchback,gray,third owner,15786.78,18
bmw,model d,2020,232430,petrol,3.7,automatic,hatchback,red,second owner,20977.89,3
chevrolet,model d,2003,208443,electric,5.0,manual,truck,gray,first owner,11342.26,20
kia,model e,2022,123401,hybrid,4.2,automatic,suv,white,third owner,19303.21,1
chevrolet,model c,2019,148168,hybrid,1.6,manual,coupe,white,third owner,17507.08,4
nissan,model b,2018,273320,diesel,4.6,manual,sedan,gray,second owner,14757.23,5
honda,model d,2020,236134,hybrid,1.0,automatic,coupe,white,third owner,13939.68,3
hyundai,model c,2017,158460,diesel,1.9,automatic,truck,black,third owner,12689.77,6
mercedes,model c,2022,233097,hybrid,3.9,manual,coupe,black,second owner,23178.91,1
honda,model d,2016,43524,petrol,2.8,cvt,coupe,black,third owner,16244.2,7
volkswagen,model e,2001,12579,diesel,2.1,manual,sedan,black,first owner,10508.97,22
ford,model b,2009,287689,electric,2.1,cvt,suv,white,first owner,11017.06,14
nissan,model c,2017,112066,hybrid,2.5,automatic,hatchback,white,third owner,17372.15,6
mercedes,model a,2012,118399,hybrid,4.8,cvt,sedan,blue,second owner,18997.88,11
honda,model c,2023,21773,hybrid,3.0,automatic,coupe,red,third owner,21996.7,0
volkswagen,model b,2009,175889,electric,1.6,cvt,coupe,white,second owner,14994.73,14
honda,model d,2003,112264,petrol,1.9,cvt,hatchback,gray,third owner,11783.92,20
ford,model e,2002,78019,diesel,3.1,manual,coupe,blue,third owner,8570.96,21
nissan,model c,2023,107601,diesel,3.5,cvt,hatchback,red,third owner,19406.68,0
ford,model d,2019,298530,hybrid,3.9,manual,hatchback,white,first owner,13723.39,4
volkswagen,model a,2003,154393,electric,1.3,automatic,hatchback,red,third owner,11940.65,20
mercedes,model b,2017,156865,diesel,3.4,manual,truck,blue,third owner,18406.5,6
honda,model b,2003,287121,petrol,2.9,cvt,coupe,red,second owner,6458.14,20
hyundai,model a,2004,46190,hybrid,1.2,automatic,coupe,red,first owner,9522.82,19
nissan,model b,2007,15156,hybrid,3.5,manual,suv,blue,first owner,12379.34,16
honda,model e,2013,238211,petrol,4.4,automatic,coupe,blue,second owner,12734.66,10
hyundai,model d,2001,183799,electric,2.8,cvt,hatchback,gray,second owner,10916.46,22
hyundai,model c,2022,126803,diesel,4.0,automatic,truck,red,second owner,20112.1,1
ford,model a,2015,72838,diesel,3.7,cvt,hatchback,white,first owner,15990.12,8
volkswagen,model c,2018,282243,diesel,2.7,manual,suv,blue,second owner,13455.84,5
kia,model d,2007,48742,electric,4.5,automatic,coupe,red,first owner,13811.06,16
volkswagen,model e,2010,88014,diesel,4.3,manual,sedan,gray,second owner,14662.24,13
toyota,model e,2008,73414,petrol,2.3,cvt,coupe,gray,third owner,12749.02,15
toyota,model e,2011,81181,electric,1.7,cvt,truck,red,third owner,18329.44,12
toyota,model d,2022,52216,electric,4.1,automatic,sedan,red,third owner,24371.85,1
kia,model d,2022,61902,diesel,1.4,cvt,hatchback,red,first owner,17787.61,1
toyota,model b,2001,128029,electric,3.0,manual,sedan,red,second owner,13736.71,22
volkswagen,model e,2020,147461,petrol,3.2,cvt,coupe,red,second owner,18219.94,3
mercedes,model d,2016,242352,electric,4.9,automatic,suv,blue,first owner,21280.99,7
kia,model b,2002,30297,diesel,2.5,automatic,suv,black,third owner,8478.31,21
mercedes,model d,2015,267558,hybrid,1.5,automatic,hatchback,red,first owner,17767.35,8
ford,model a,2010,172080,diesel,3.0,cvt,hatchback,gray,third owner,9904.33,13
bmw,model c,2014,265522,diesel,2.5,automatic,suv,blue,third owner,17600.07,9
mercedes,model e,2022,274091,hybrid,1.1,manual,sedan,gray,second owner,23240.61,1
toyota,model d,2005,93518,diesel,1.4,manual,suv,white,second owner,10774.64,18
kia,model d,2005,170688,electric,4.8,cvt,coupe,black,first owner,9832.33,18
nissan,model e,2010,15394,hybrid,2.2,cvt,coupe,red,second owner,12387.59,13
volkswagen,model a,2022,243427,electric,1.7,cvt,suv,blue,third owner,18727.13,1
mercedes,model c,2003,232995,hybrid,4.4,manual,coupe,gray,first owner,10278.48,20
volkswagen,model c,2006,118725,electric,4.0,manual,coupe,red,first owner,15439.09,17
bmw,model e,2023,104448,diesel,2.5,manual,coupe,red,third owner,23951.21,0
volkswagen,model e,2002,240801,petrol,2.6,automatic,sedan,gray,first owner,7207.17,21
bmw,model a,2020,239081,electric,1.5,cvt,sedan,gray,third owner,22975.19,3
kia,model a,2018,213212,electric,1.6,cvt,hatchback,blue,third owner,15763.41,5
kia,model b,2023,253430,petrol,2.2,manual,sedan,white,third owner,17274.16,0
kia,model c,2012,158502,petrol,1.5,automatic,truck,blue,third owner,10668.63,11
bmw,model e,2014,122015,petrol,3.1,cvt,sedan,white,second owner,18679.61,9
volkswagen,model e,2010,137854,petrol,2.4,cvt,hatchback,blue,first owner,12371.12,13
mercedes,model b,2010,247821,electric,4.7,automatic,truck,black,first owner,20331.79,13
chevrolet,model b,2018,34034,hybrid,2.8,cvt,truck,white,third owner,17662.94,5
bmw,model d,2017,21520,petrol,2.1,automatic,sedan,black,second owner,22062.28,6
kia,model e,2021,122023,diesel,3.8,manual,coupe,white,second owner,19666.36,2
chevrolet,model b,2010,154623,electric,1.0,cvt,sedan,blue,third owner,12400.83,13
bmw,model e,2000,86674,electric,1.9,automatic,sedan,black,first owner,15735.63,23
chevrolet,model b,2016,220472,electric,1.3,automatic,coupe,blue,third owner,16381.86,7
hyundai,model e,2015,295369,diesel,4.2,manual,truck,red,second owner,13931.61,8
bmw,model b,2002,123982,petrol,2.2,cvt,truck,white,second owner,14202.33,21
kia,model d,2019,12791,diesel,2.1,cvt,coupe,red,second owner,16355.94,4
chevrolet,model c,2008,220939,diesel,4.8,automatic,coupe,blue,first owner,7981.88,15
mercedes,model b,2006,197597,hybrid,3.6,cvt,truck,blue,second owner,11564.82,17
nissan,model e,2012,258802,electric,4.4,manual,sedan,white,first owner,15749.09,11
mercedes,model b,2022,278549,electric,2.7,manual,suv,gray,first owner,22998.62,1
toyota,model a,2005,23403,electric,4.5,manual,suv,blue,third owner,12582.03,18
hyundai,model d,2021,10920,diesel,4.5,cvt,sedan,blue,third owner,17335.01,2
kia,model e,2011,238174,diesel,2.6,manual,hatchback,blue,third owner,12389.7,12
ford,model b,2015,268747,petrol,3.8,automatic,suv,black,second owner,11945.12,8
volkswagen,model d,2001,31044,diesel,1.9,manual,sedan,white,second owner,9111.34,22
ford,model a,2004,101440,hybrid,2.1,automatic,suv,white,first owner,10467.07,19
honda,model b,2007,42353,hybrid,1.8,automatic,suv,white,second owner,12181.56,16
hyundai,model c,2003,28304,hybrid,1.9,automatic,truck,gray,third owner,9113.86,20
bmw,model a,2003,155447,hybrid,1.4,manual,sedan,white,first owner,11132.43,20
nissan,model e,2002,52209,diesel,2.9,manual,sedan,red,second owner,11301.17,21
mercedes,model a,2011,143882,hybrid,4.8,automatic,suv,red,second owner,18691.29,12
kia,model d,2023,67023,electric,4.9,cvt,truck,red,third owner,22885.85,0
nissan,model d,2022,231167,petrol,2.4,cvt,sedan,gray,third owner,18038.89,1
nissan,model c,2005,294737,petrol,3.3,manual,truck,white,third owner,9971.69,18
honda,model b,2004,29255,diesel,3.8,automatic,sedan,black,third owner,9566.56,19
nissan,model a,2002,219967,petrol,4.1,manual,sedan,black,third owner,7367.76,21
chevrolet,model e,2002,69607,hybrid,4.9,manual,hatchback,white,second owner,10482.59,21
ford,model c,2001,153615,diesel,4.4,manual,hatchback,blue,third owner,6409.99,22
bmw,model b,2008,222334,hybrid,1.1,automatic,suv,black,first owner,12555.09,15
kia,model c,2020,238040,diesel,2.5,automatic,hatchback,blue,third owner,14705.69,3
bmw,model d,2023,164663,diesel,3.4,automatic,suv,blue,first owner,23397.41,0
volkswagen,model d,2008,118812,electric,4.7,automatic,suv,gray,first owner,14869.84,15
nissan,model b,2006,99597,electric,2.3,automatic,hatchback,blue,first owner,13119.83,17
mercedes,model b,2023,57199,diesel,1.1,manual,truck,blue,first owner,26591.8,0
ford,model c,2019,108656,electric,2.6,cvt,truck,blue,third owner,19660.4,4
bmw,model b,2020,262317,diesel,2.0,cvt,truck,black,third owner,20392.32,3
volkswagen,model e,2003,210638,diesel,3.6,cvt,coupe,red,first owner,5462.27,20
kia,model e,2017,12672,petrol,2.2,manual,truck,red,first owner,18377.86,6
mercedes,model b,2006,38504,diesel,2.8,automatic,hatchback,gray,first owner,16498.18,17
toyota,model b,2023,63300,petrol,2.8,manual,coupe,blue,second owner,20398.94,0
hyundai,model b,2018,96356,diesel,2.7,automatic,sedan,black,third owner,16848.65,5
bmw,model c,2008,81069,diesel,3.7,cvt,sedan,red,third owner,15682.05,15
chevrolet,model a,2006,283147,diesel,4.3,cvt,coupe,blue,first owner,7595.3,17
volkswagen,model c,2012,116554,diesel,2.8,cvt,hatchback,gray,first owner,15396.14,11
volkswagen,model a,2019,111949,diesel,2.5,cvt,hatchback,white,second owner,19523.91,4
toyota,model d,2000,237970,diesel,5.0,automatic,coupe,red,third owner,6854.26,23
nissan,model b,2007,98955,electric,3.9,cvt,suv,gray,third owner,14748.7,16
hyundai,model d,2007,269505,electric,1.1,manual,suv,black,first owner,13060.02,16
chevrolet,model c,2006,164107,diesel,2.1,automatic,hatchback,red,first owner,9292.49,17
nissan,model e,2013,73703,hybrid,2.8,manual,truck,gray,third owner,14955.5,10
mercedes,model b,2013,151054,diesel,3.1,automatic,suv,white,second owner,16222.2,10
toyota,model c,2000,122523,hybrid,4.2,automatic,truck,gray,third owner,7352.56,23
honda,model e,2009,85397,hybrid,1.7,manual,sedan,red,first owner,13297.6,14
bmw,model b,2021,128977,petrol,3.9,cvt,suv,white,second owner,24635.79,2
hyundai,model a,2008,218196,hybrid,1.6,cvt,hatchback,gray,third owner,11032.67,15
honda,model b,2013,92644,hybrid,2.8,automatic,suv,gray,first owner,16184.82,10
chevrolet,model c,2020,217257,petrol,1.4,automatic,truck,gray,second owner,15418.11,3
bmw,model a,2005,21226,electric,4.2,cvt,truck,gray,third owner,20809.23,18
kia,model e,2018,152208,electric,2.4,cvt,hatchback,white,third owner,19229.8,5
hyundai,model e,2019,280835,diesel,2.4,manual,sedan,red,second owner,15937.02,4
volkswagen,model a,2014,231609,hybrid,1.0,manual,suv,blue,second owner,12289.69,9
nissan,model c,2016,287175,diesel,2.3,automatic,hatchback,blue,second owner,11735.47,7
volkswagen,model b,2009,115440,petrol,2.3,manual,sedan,white,second owner,11869.72,14
bmw,model b,2022,22905,hybrid,4.6,automatic,truck,gray,third owner,25188.54,1
ford,model c,2017,124151,diesel,2.3,cvt,hatchback,red,second owner,18749.07,6
bmw,model e,2005,35478,diesel,1.1,cvt,hatchback,blue,third owner,14172.49,18
volkswagen,model c,2017,203677,petrol,3.5,automatic,suv,blue,second owner,13404.07,6
chevrolet,model b,2003,188117,hybrid,4.3,cvt,truck,gray,first owner,5103.19,20
chevrolet,model e,2000,120678,electric,2.6,manual,truck,red,third owner,11468.65,23
nissan,model b,2000,190331,diesel,2.3,manual,coupe,white,first owner,4864.46,23
bmw,model d,2023,9193,petrol,1.6,cvt,hatchback,gray,third owner,24650.38,0
nissan,model d,2021,258149,hybrid,4.6,cvt,sedan,white,first owner,14843.24,2
nissan,model d,2009,264537,diesel,2.7,cvt,truck,black,second owner,9026.53,14
nissan,model c,2009,199893,diesel,3.7,manual,coupe,gray,third owner,8524.31,14
kia,model c,2019,35414,diesel,3.2,manual,suv,red,first owner,16586.72,4
kia,model d,2015,264087,electric,3.1,automatic,truck,white,second owner,16239.93,8
toyota,model c,2014,207470,petrol,3.8,automatic,coupe,black,first owner,14411.87,9
mercedes,model b,2009,121134,petrol,1.8,automatic,truck,black,first owner,16865.78,14
chevrolet,model d,2011,67726,electric,2.1,cvt,truck,red,first owner,18915.4,12
volkswagen,model b,2004,209599,electric,4.0,automatic,truck,white,third owner,9715.09,19
mercedes,model b,2023,86038,petrol,3.3,manual,truck,red,first owner,24624.32,0
nissan,model c,2011,207722,diesel,3.0,automatic,hatchback,black,second owner,11273.54,12
nissan,model e,2005,206654,petrol,2.5,cvt,truck,gray,first owner,9481.52,18
mercedes,model b,2016,88196,hybrid,4.0,automatic,suv,black,first owner,21773.24,7
ford,model a,2010,120092,diesel,4.6,cvt,coupe,gray,first owner,12439.74,13
bmw,model e,2009,170877,electric,3.1,manual,coupe,gray,first owner,17144.08,14
hyundai,model a,2016,240763,diesel,1.6,cvt,hatchback,white,second owner,14669.43,7
honda,model a,2017,183430,hybrid,4.3,automatic,truck,gray,third owner,15981.0,6
hyundai,model d,2006,207208,electric,2.6,automatic,sedan,white,second owner,9993.25,17
bmw,model c,2023,186237,diesel,3.0,cvt,coupe,red,first owner,23373.04,0
ford,model e,2011,104027,hybrid,1.0,automatic,truck,white,second owner,15606.64,12
chevrolet,model b,2005,171572,diesel,4.1,cvt,hatchback,black,second owner,7210.27,18
honda,model e,2017,30992,diesel,1.4,automatic,hatchback,white,third owner,16751.18,6
hyundai,model e,2019,64056,hybrid,4.8,cvt,hatchback,white,second owner,17183.73,4
chevrolet,model d,2018,73934,electric,3.8,automatic,sedan,blue,first owner,20527.93,5
honda,model d,2016,248960,diesel,2.7,automatic,coupe,black,third owner,14693.51,7
honda,model d,2003,282313,petrol,3.3,cvt,coupe,white,first owner,8143.33,20
chevrolet,model c,2001,80700,petrol,4.6,manual,coupe,red,second owner,10287.29,22
toyota,model c,2016,135342,petrol,1.8,manual,hatchback,blue,second owner,18175.38,7
nissan,model b,2011,91669,electric,4.7,manual,sedan,red,third owner,16243.48,12
hyundai,model c,2017,37510,petrol,2.9,manual,hatchback,gray,second owner,16260.19,6
ford,model b,2017,159085,petrol,3.0,manual,sedan,red,first owner,14049.04,6
chevrolet,model a,2017,226149,electric,2.7,manual,hatchback,red,second owner,16978.8,6
toyota,model a,2018,101540,diesel,3.0,cvt,suv,red,first owner,19326.08,5
nissan,model b,2013,123636,hybrid,4.7,automatic,truck,white,first owner,14182.15,10
bmw,model b,2022,242556,electric,2.0,manual,truck,white,first owner,25796.76,1
nissan,model d,2018,102756,electric,4.3,cvt,truck,white,third owner,19274.11,5
nissan,model b,2003,201098,hybrid,2.7,cvt,sedan,blue,second owner,8284.4,20
toyota,model c,2002,219328,petrol,3.6,cvt,suv,white,second owner,5865.33,21
mercedes,model a,2011,214332,diesel,2.8,manual,sedan,white,second owner,14089.36,12
chevrolet,model b,2010,169930,hybrid,4.9,automatic,truck,blue,second owner,9389.27,13
volkswagen,model c,2018,117335,electric,2.2,manual,suv,white,third owner,21769.52,5
bmw,model c,2003,117373,diesel,3.3,manual,hatchback,black,third owner,13059.79,20
mercedes,model d,2006,293708,electric,3.1,automatic,sedan,blue,third owner,16743.44,17
honda,model a,2010,98194,hybrid,4.9,automatic,coupe,black,second owner,14977.79,13
mercedes,model c,2017,63014,diesel,5.0,cvt,truck,blue,second owner,23192.85,6
mercedes,model d,2007,221768,diesel,4.7,cvt,hatchback,blue,second owner,14186.67,16
nissan,model c,2005,241354,petrol,1.9,automatic,suv,blue,first owner,6716.8,18
volkswagen,model a,2023,5036,diesel,2.3,cvt,sedan,blue,second owner,21265.07,0
ford,model d,2022,185901,petrol,4.6,automatic,suv,blue,first owner,17066.47,1
honda,model c,2007,221522,petrol,4.7,automatic,sedan,white,third owner,9849.2,16
kia,model d,2022,191550,electric,1.3,manual,suv,blue,second owner,20633.98,1
chevrolet,model b,2010,42595,electric,3.6,manual,sedan,blue,third owner,15628.04,13
ford,model b,2004,278588,petrol,2.3,cvt,hatchback,black,third owner,7144.69,19
nissan,model e,2023,143334,petrol,3.5,cvt,sedan,black,third owner,19148.59,0
chevrolet,model d,2007,191930,diesel,3.2,manual,coupe,red,third owner,10743.25,16
kia,model d,2011,93983,petrol,3.0,manual,truck,red,first owner,15863.32,12
nissan,model d,2017,158587,petrol,1.6,cvt,coupe,white,third owner,14218.98,6
kia,model d,2019,269649,electric,1.8,automatic,truck,white,second owner,18865.29,4
toyota,model d,2016,223936,electric,2.4,automatic,coupe,black,first owner,18440.3,7
chevrolet,model c,2017,45656,petrol,4.4,manual,coupe,white,second owner,17796.76,6
honda,model b,2013,224047,diesel,2.4,automatic,suv,red,first owner,11043.53,10
bmw,model c,2010,24752,diesel,2.8,automatic,suv,gray,first owner,19178.22,13
volkswagen,model c,2019,45049,diesel,2.8,cvt,coupe,blue,second owner,18345.46,4
hyundai,model e,2012,65381,diesel,4.8,automatic,truck,white,second owner,12878.81,11
ford,model e,2016,120850,hybrid,4.0,automatic,sedan,blue,third owner,17708.42,7
volkswagen,model b,2009,297416,hybrid,2.9,automatic,hatchback,red,third owner,9360.02,14
volkswagen,model b,2019,17154,hybrid,4.1,automatic,hatchback,black,third owner,18788.87,4
honda,model c,2006,25958,petrol,2.1,manual,hatchback,red,third owner,10759.59,17
ford,model e,2008,71846,diesel,3.1,automatic,sedan,blue,second owner,12738.01,15
nissan,model c,2022,6908,electric,2.5,cvt,truck,gray,first owner,24499.85,1
chevrolet,model d,2019,29031,diesel,4.5,manual,hatchback,red,third owner,17077.0,4
hyundai,model d,2020,104157,petrol,3.0,cvt,coupe,white,second owner,17718.59,3
mercedes,model e,2018,38897,petrol,4.4,automatic,truck,blue,second owner,23103.26,5
kia,model e,2021,221101,electric,4.2,manual,suv,red,third owner,17435.6,2
mercedes,model a,2009,35487,hybrid,4.6,manual,hatchback,black,first owner,19851.51,14
chevrolet,model b,2010,257899,diesel,2.3,manual,sedan,black,first owner,9079.95,13
kia,model b,2003,262508,electric,1.7,automatic,truck,gray,first owner,11281.07,20
kia,model e,2020,131046,petrol,4.9,manual,sedan,white,first owner,19243.67,3
chevrolet,model a,2020,181408,electric,4.4,cvt,sedan,blue,third owner,18880.11,3
toyota,model d,2010,46218,petrol,3.6,cvt,coupe,red,second owner,12532.63,13
chevrolet,model b,2003,5618,electric,2.4,automatic,truck,gray,first owner,13636.33,20
honda,model a,2007,33178,petrol,4.9,automatic,truck,gray,third owner,12045.11,16
toyota,model d,2004,282393,hybrid,1.2,automatic,sedan,white,second owner,6417.84,19
bmw,model d,2005,116344,electric,2.7,automatic,sedan,black,first owner,17732.36,18
honda,model e,2011,167616,electric,2.7,automatic,suv,red,third owner,15372.59,12
volkswagen,model a,2009,265544,diesel,1.5,automatic,sedan,gray,third owner,8283.3,14
kia,model d,2015,78496,petrol,2.9,cvt,truck,blue,second owner,17512.39,8
kia,model d,2009,9204,diesel,3.1,manual,suv,white,third owner,14027.32,14
nissan,model b,2018,286424,hybrid,3.8,automatic,coupe,blue,first owner,12573.5,5
toyota,model e,2023,169625,petrol,1.2,automatic,sedan,gray,second owner,15904.65,0
chevrolet,model d,2002,175959,hybrid,2.8,cvt,hatchback,black,second owner,8295.13,21
toyota,model a,2011,178311,electric,3.8,automatic,coupe,white,first owner,12824.71,12
volkswagen,model e,2016,75892,hybrid,1.4,automatic,sedan,gray,third owner,15614.18,7
honda,model a,2003,118506,electric,2.5,automatic,coupe,red,third owner,11964.83,20
mercedes,model a,2000,35102,diesel,1.6,automatic,sedan,red,third owner,14747.84,23
honda,model d,2022,162176,petrol,2.3,automatic,suv,black,second owner,16943.69,1
mercedes,model e,2003,70426,diesel,2.6,cvt,coupe,red,second owner,14991.07,20
ford,model a,2018,37095,hybrid,2.8,cvt,suv,gray,third owner,18125.22,5
mercedes,model c,2008,178064,hybrid,1.2,automatic,hatchback,red,second owner,14725.28,15
bmw,model d,2007,37118,electric,3.3,cvt,truck,red,first owner,18317.8,16
honda,model a,2009,272014,hybrid,1.3,automatic,hatchback,white,second owner,10314.79,14
honda,model e,2005,137220,diesel,4.6,cvt,suv,red,first owner,9678.44,18
hyundai,model c,2010,64026,hybrid,4.4,automatic,hatchback,blue,first owner,12441.29,13
chevrolet,model b,2023,16904,electric,1.8,automatic,truck,gray,second owner,21826.1,0
mercedes,model d,2005,232483,diesel,4.9,automatic,truck,red,second owner,13876.71,18
hyundai,model a,2011,147017,diesel,2.4,manual,hatchback,blue,second owner,12951.0,12
ford,model e,2010,295419,electric,4.8,manual,truck,black,third owner,14487.1,13
bmw,model c,2010,241554,diesel,4.3,cvt,sedan,red,first owner,16261.95,13
toyota,model d,2022,287727,diesel,1.9,automatic,sedan,gray,second owner,15113.49,1
volkswagen,model d,2002,165114,hybrid,4.3,cvt,truck,red,first owner,6296.71,21
ford,model d,2007,85645,petrol,3.2,automatic,hatchback,red,first owner,10195.98,16
honda,model e,2010,62223,diesel,3.7,manual,truck,gray,second owner,14199.94,13
kia,model b,2020,36918,diesel,3.9,cvt,truck,blue,third owner,17619.68,3
bmw,model d,2013,123151,electric,3.9,cvt,truck,blue,first owner,24736.23,10
toyota,model e,2011,130019,petrol,3.1,cvt,suv,blue,third owner,15168.77,12
ford,model a,2011,59919,hybrid,4.1,automatic,suv,white,second owner,14128.86,12
toyota,model e,2023,128502,diesel,2.3,cvt,sedan,black,second owner,19077.63,0
chevrolet,model c,2005,258931,petrol,4.1,cvt,coupe,gray,third owner,8524.45,18
ford,model e,2017,25406,diesel,1.8,cvt,hatchback,gray,third owner,17668.05,6
mercedes,model c,2012,121981,diesel,1.0,automatic,hatchback,blue,third owner,20713.16,11
honda,model c,2002,124081,hybrid,3.1,manual,suv,white,third owner,10447.99,21
volkswagen,model a,2004,261412,hybrid,1.2,cvt,suv,white,first owner,5894.75,19
bmw,model a,2023,197176,electric,2.0,cvt,suv,red,third owner,23851.88,0
volkswagen,model c,2001,9550,electric,1.7,manual,hatchback,white,first owner,11490.15,22
hyundai,model d,2016,70300,diesel,4.4,automatic,sedan,blue,second owner,17481.41,7
toyota,model d,2014,222591,diesel,3.2,cvt,coupe,red,second owner,12137.45,9
