Make,Model,Year,Mileage,Fuel_Type,Engine_Size,Transmission,Body_Type,Color,Owner_History,Price,Age
bmw,model b,-0.940936823993087,-0.5059586673207278,electric,0.8019878383765466,automatic,sedan,red,third owner,20261.38,0.9409368239930741
hyundai,model e,0.06849731668913786,-1.0567005909455813,diesel,1.5811631549835439,automatic,truck,white,second owner,12878.81,-0.06849731668915093
bmw,model b,-1.6619612101946761,-0.9042850228713697,hybrid,0.7154128031979914,automatic,hatchback,blue,third owner,14434.45,1.6619612101946633
mercedes,model e,-1.2293465784737228,-0.9965522382442047,diesel,-0.3234876189446713,cvt,coupe,red,second owner,14991.07,1.2293465784737099
honda,model c,-1.6619612101946761,-0.8544852866506265,hybrid,1.4080130846264332,automatic,sedan,red,second owner,9477.43,1.6619612101946633
hyundai,model a,1.5105460890923161,-0.2910221950708933,hybrid,1.7543132253406544,cvt,sedan,blue,second owner,20313.92,-1.5105460890923295
toyota,model b,-0.5083221922721335,-0.17103547126779056,petrol,-0.4966376893017819,cvt,truck,white,third owner,12770.48,0.5083221922721205
ford,model a,1.3663412118519984,-0.9984836620574105,diesel,0.28253762730521514,manual,hatchback,black,third owner,19153.43,-1.3663412118520115
toyota,model a,0.7895217028907271,-1.2095453643116163,petrol,0.888562873555102,cvt,suv,white,second owner,18632.18,-0.7895217028907402
volkswagen,model b,1.0779314573713628,-0.3083573199128757,hybrid,-1.6221131466229999,cvt,suv,black,second owner,18669.5,-1.0779314573713759
honda,model c,-1.3735514557140405,0.11677052163830029,diesel,0.888562873555102,manual,sedan,blue,first owner,6092.01,1.3735514557140276
chevrolet,model d,0.6453168256504092,0.027054693277971636,hybrid,-1.3623880410873344,manual,hatchback,white,second owner,14594.7,-0.6453168256504224
bmw,model e,-1.6619612101946761,-1.31378263837864,diesel,1.3214380494478781,automatic,suv,red,second owner,12363.6,1.6619612101946633
nissan,model e,1.3663412118519984,-1.7319955057837706,electric,-1.5355381114444449,manual,truck,red,first owner,22380.1,-1.3663412118520115
chevrolet,model c,0.9337265801310449,-0.9361773605276992,hybrid,-0.7563627948374475,manual,sedan,blue,third owner,18918.01,-0.933726580131058
bmw,model d,0.06849731668913786,0.9954968224316111,hybrid,-1.4489630762658894,manual,sedan,blue,second owner,17664.95,-0.06849731668915093
kia,model e,0.6453168256504092,-0.7677500505946276,hybrid,-1.3623880410873344,cvt,hatchback,gray,first owner,14521.19,-0.6453168256504224
honda,model e,-0.5083221922721335,0.11820120594437862,diesel,-0.4966376893017819,automatic,hatchback,black,first owner,9990.09,0.5083221922721205
nissan,model d,1.5105460890923161,0.9198613121169367,petrol,-0.4966376893017819,cvt,sedan,gray,third owner,18038.89,-1.5105460890923295
chevrolet,model a,1.654750966332634,0.8080652559661324,hybrid,-0.9295128651945581,manual,hatchback,gray,second owner,15472.84,-1.6547509663326474
honda,model d,-0.940936823993087,1.1038234691401754,petrol,-0.5832127244803372,cvt,truck,black,second owner,9793.19,0.9409368239930741
hyundai,model a,0.5011119484100913,-0.9117484260014117,petrol,1.0617129439122126,manual,suv,blue,first owner,16023.34,-0.5011119484101045
bmw,model a,-1.3735514557140405,-0.11241318182623097,petrol,0.6288377680194365,automatic,truck,red,third owner,16477.16,1.3735514557140276
kia,model b,0.5011119484100913,-0.8281845401572199,diesel,-0.5832127244803372,manual,sedan,black,third owner,16340.13,-0.5011119484101045
chevrolet,model e,-1.3735514557140405,-1.0063166586331893,hybrid,1.6677381901620996,manual,hatchback,white,second owner,10482.59,1.3735514557140276
honda,model a,-1.0851417012334048,0.7390705053055049,electric,-0.4966376893017819,manual,suv,white,first owner,9587.86,1.085141701233392
toyota,model b,0.06849731668913786,1.098661083269076,diesel,0.9751379087336569,cvt,truck,gray,second owner,13176.08,-0.06849731668915093
honda,model d,0.5011119484100913,-0.905453415054667,hybrid,-0.5832127244803372,automatic,sedan,blue,third owner,15822.71,-0.5011119484101045
mercedes,model d,0.35690707116977355,0.6544336062317543,petrol,0.8019878383765466,automatic,hatchback,gray,third owner,18709.06,-0.35690707116978665
honda,model e,-1.6619612101946761,-0.7614669620171004,electric,1.1482879790907676,manual,coupe,black,third owner,13161.47,1.6619612101946633
ford,model e,-0.21991243779149783,1.6858973790681442,electric,1.5811631549835439,manual,truck,black,third owner,14487.1,0.21991243779148478
volkswagen,model a,-0.6525270695124513,-1.4582459861848993,diesel,0.5422627328408811,automatic,sedan,gray,second owner,13315.01,0.6525270695124383
toyota,model a,0.5011119484100913,-0.4505673399370618,petrol,0.9751379087336569,automatic,hatchback,red,second owner,17009.17,-0.5011119484101045
hyundai,model c,1.2221363346116805,0.04635700904081178,hybrid,0.7154128031979914,manual,hatchback,gray,third owner,16820.26,-1.2221363346116938
hyundai,model c,1.5105460890923161,1.1702549104190791,diesel,0.888562873555102,automatic,suv,gray,third owner,18032.66,-1.5105460890923295
ford,model b,-1.0851417012334048,1.485231982771441,petrol,-0.5832127244803372,cvt,hatchback,black,third owner,7144.69,1.085141701233392
chevrolet,model e,-0.21991243779149783,-1.144139246785402,diesel,-1.5355381114444449,manual,suv,white,second owner,13718.31,0.21991243779148478
toyota,model e,0.5011119484100913,-1.0616722189092034,hybrid,-0.9295128651945581,cvt,suv,gray,second owner,14492.95,-0.5011119484101045
nissan,model c,-0.6525270695124513,1.5139172031083115,hybrid,0.28253762730521514,cvt,hatchback,blue,third owner,10255.83,0.6525270695124383
volkswagen,model d,1.654750966332634,1.645838218497951,diesel,0.1093875569481049,manual,truck,gray,second owner,17783.25,-1.6547509663326474
bmw,model b,0.5011119484100913,-0.022029700789732428,petrol,0.8019878383765466,automatic,sedan,white,third owner,19284.21,-0.5011119484101045
mercedes,model b,1.0779314573713628,-0.9496973272201394,petrol,-0.4100626541232266,automatic,sedan,gray,second owner,21643.55,-1.0779314573713759
toyota,model d,-0.07570756055117998,1.2520065961422384,diesel,-0.5832127244803372,manual,hatchback,white,third owner,12144.18,0.07570756055116692
volkswagen,model b,0.5011119484100913,0.6257722306333184,electric,-1.5355381114444449,cvt,sedan,white,third owner,14695.08,-0.5011119484101045
toyota,model e,-0.5083221922721335,1.5268648960783204,petrol,0.1093875569481049,automatic,truck,red,first owner,9998.06,0.5083221922721205
ford,model b,1.3663412118519984,1.6954591191804345,electric,-0.6697877596588921,cvt,truck,blue,second owner,20356.72,-1.3663412118520115
nissan,model a,-0.36411731503181566,-1.591442695080792,petrol,-1.1026629355516686,manual,suv,red,third owner,13666.44,0.3641173150318026
kia,model e,1.2221363346116805,-1.0756094685242499,petrol,-0.5832127244803372,cvt,truck,red,first owner,16988.39,-1.2221363346116938
toyota,model a,0.9337265801310449,-0.6544636982916585,petrol,1.7543132253406544,manual,truck,red,first owner,18447.0,-0.933726580131058
nissan,model e,0.7895217028907271,1.1602758873841827,petrol,1.3214380494478781,manual,coupe,red,first owner,14851.03,-0.7895217028907402
nissan,model c,-0.07570756055117998,-0.9947161933847376,petrol,-1.3623880410873344,manual,truck,blue,first owner,13565.59,0.07570756055116692
bmw,model a,-0.940936823993087,-0.8433259490632156,petrol,1.4080130846264332,cvt,coupe,red,first owner,16840.26,0.9409368239930741
nissan,model d,-0.7967319467527691,0.5348522429820405,petrol,0.36911266248377045,automatic,truck,blue,second owner,7792.28,0.7967319467527562
volkswagen,model c,-1.6619612101946761,0.8154452025116531,petrol,-0.7563627948374475,automatic,truck,red,second owner,7043.94,1.6619612101946633
chevrolet,model b,0.9337265801310449,0.4801047235361097,electric,-1.6221131466229999,cvt,truck,black,third owner,17733.46,-0.933726580131058
toyota,model c,0.2127021939294557,-0.903772360995025,diesel,-0.6697877596588921,automatic,suv,blue,first owner,15783.71,-0.2127021939294688
chevrolet,model a,-0.07570756055117998,-0.8232248345628149,hybrid,1.7543132253406544,cvt,hatchback,blue,second owner,12405.62,0.07570756055116692
hyundai,model e,-0.07570756055117998,0.40339619999187654,petrol,-0.4966376893017819,cvt,sedan,red,third owner,10730.29,0.07570756055116692
kia,model d,-1.2293465784737228,-1.1034124335390387,petrol,1.2348630142693233,manual,truck,white,second owner,8262.12,1.2293465784737099
chevrolet,model d,1.2221363346116805,1.3780141164000874,diesel,1.4080130846264332,manual,sedan,red,third owner,15828.99,-1.2221363346116938
volkswagen,model a,-0.7967319467527691,-0.9700726562125384,electric,0.8019878383765466,manual,sedan,blue,second owner,15331.02,0.7967319467527562
hyundai,model a,-1.0851417012334048,0.5434005817108585,diesel,0.1093875569481049,manual,coupe,black,first owner,6086.96,1.085141701233392
ford,model a,0.06849731668913786,-1.462561883841569,hybrid,-0.7563627948374475,manual,truck,white,third owner,14105.39,-0.06849731668915093
chevrolet,model c,0.9337265801310449,0.30056576549249653,petrol,-1.5355381114444449,cvt,hatchback,black,first owner,16456.25,-0.933726580131058
hyundai,model a,0.2127021939294557,1.1591432623085374,electric,0.1093875569481049,cvt,suv,blue,first owner,13704.31,-0.2127021939294688
bmw,model b,1.5105460890923161,-1.563115145820441,hybrid,1.4080130846264332,automatic,truck,gray,third owner,25188.54,-1.5105460890923295
chevrolet,model a,1.0779314573713628,-0.08955800003662964,petrol,-0.6697877596588921,automatic,coupe,red,second owner,16922.23,-1.0779314573713759
honda,model a,1.654750966332634,-0.6190304169777852,petrol,-1.0160879003731134,manual,sedan,red,third owner,20851.01,-1.6547509663326474
chevrolet,model c,0.7895217028907271,-1.451962897607372,hybrid,0.36911266248377045,automatic,coupe,black,third owner,15124.84,-0.7895217028907402
toyota,model b,-1.3735514557140405,1.434430767536443,hybrid,0.8019878383765466,cvt,hatchback,white,first owner,5944.43,1.3735514557140276
honda,model d,-0.6525270695124513,0.06356098782140371,petrol,-1.0160879003731134,manual,suv,red,third owner,7309.8,0.6525270695124383
bmw,model c,0.5011119484100913,-1.6761988178467158,petrol,1.6677381901620996,cvt,coupe,black,first owner,20426.25,-0.5011119484101045
ford,model d,-0.7967319467527691,0.7800715330438663,hybrid,0.9751379087336569,automatic,sedan,black,third owner,9774.22,0.7967319467527562
bmw,model c,0.35690707116977355,0.5899693558737082,petrol,-0.236912583766116,automatic,truck,gray,third owner,18010.05,-0.35690707116978665
honda,model e,-1.0851417012334048,-1.5289337132743863,petrol,0.1093875569481049,cvt,coupe,gray,third owner,9195.91,1.085141701233392
honda,model c,-0.5083221922721335,-0.37179624651823234,diesel,0.1093875569481049,manual,suv,gray,second owner,12036.4,0.5083221922721205
kia,model e,1.654750966332634,0.5115559335313984,hybrid,0.7154128031979914,manual,suv,gray,second owner,15004.78,-1.6547509663326474
chevrolet,model b,0.35690707116977355,-0.829460233663473,electric,1.0617129439122126,automatic,sedan,white,second owner,18918.53,-0.35690707116978665
kia,model c,1.654750966332634,0.5577908813561631,electric,-1.5355381114444449,manual,sedan,black,second owner,21800.39,-1.6547509663326474
honda,model c,0.35690707116977355,1.09988908729846,diesel,-1.0160879003731134,automatic,sedan,white,first owner,13041.66,-0.35690707116978665
bmw,model b,1.3663412118519984,-1.3578477150058526,hybrid,0.9751379087336569,manual,truck,black,third owner,22497.01,-1.3663412118520115
mercedes,model e,1.2221363346116805,-1.041165743855414,hybrid,1.5811631549835439,automatic,sedan,gray,third owner,22288.23,-1.2221363346116938
honda,model e,0.2127021939294557,-0.6553936430906094,diesel,-0.8429378300160029,automatic,hatchback,black,second owner,14479.81,-0.2127021939294688
hyundai,model e,-0.6525270695124513,-1.3920410699211245,petrol,1.2348630142693233,cvt,truck,blue,third owner,12743.4,0.6525270695124383
toyota,model d,-1.3735514557140405,1.68831762001926,petrol,0.36911266248377045,automatic,suv,red,first owner,5874.48,1.3735514557140276
nissan,model a,1.0779314573713628,0.3745202217475289,electric,-1.6221131466229999,cvt,coupe,black,second owner,19336.85,-1.0779314573713759
ford,model d,0.9337265801310449,-0.8790811343459565,petrol,0.9751379087336569,manual,suv,gray,third owner,16847.72,-0.933726580131058
mercedes,model d,0.5011119484100913,1.3537282503044077,hybrid,-1.275813005908779,automatic,hatchback,red,first owner,17767.35,-0.5011119484101045
nissan,model d,-1.6619612101946761,-0.7217177830465574,electric,0.888562873555102,manual,hatchback,red,second owner,12609.19,1.6619612101946633
ford,model d,-0.6525270695124513,1.7240608829327837,hybrid,0.4556876976623258,manual,sedan,black,first owner,8628.0,0.6525270695124383
hyundai,model d,0.7895217028907271,-0.5662262437142774,petrol,0.6288377680194365,manual,sedan,black,third owner,18879.8,-0.7895217028907402
ford,model d,-0.6525270695124513,-0.8151057011258205,petrol,0.19596259212666023,automatic,hatchback,red,first owner,10195.98,0.6525270695124383
ford,model e,0.5011119484100913,-1.2621110901907775,hybrid,0.5422627328408811,cvt,coupe,white,second owner,15788.02,-0.5011119484101045
kia,model e,1.654750966332634,-0.41397758880910845,diesel,1.1482879790907676,automatic,coupe,white,third owner,19076.22,-1.6547509663326474
honda,model a,-1.2293465784737228,-0.4233247262754869,electric,-0.4100626541232266,automatic,coupe,red,third owner,11964.83,1.2293465784737099
kia,model d,0.9337265801310449,0.7425160700093102,electric,-0.8429378300160029,automatic,truck,black,third owner,17059.23,-0.933726580131058
chevrolet,model d,0.9337265801310449,-1.4276054972963885,hybrid,-1.1892379707302236,manual,sedan,red,first owner,16034.22,-0.933726580131058
bmw,model a,-1.3735514557140405,-0.4455718672350049,diesel,-0.15033754858756104,automatic,truck,gray,second owner,15400.54,1.3735514557140276
mercedes,model e,0.7895217028907271,1.2951417279705002,diesel,0.36911266248377045,manual,coupe,red,second owner,18146.58,-0.7895217028907402
volkswagen,model e,1.2221363346116805,-0.078112525588003,petrol,0.19596259212666023,cvt,coupe,red,second owner,18219.94,-1.2221363346116938
mercedes,model e,-0.07570756055117998,-1.3841246167608245,hybrid,-0.06376251340900574,automatic,truck,red,third owner,19348.44,0.07570756055116692
honda,model a,1.0779314573713628,-0.26089436805872707,petrol,0.5422627328408811,automatic,sedan,gray,first owner,19436.23,-1.0779314573713759
nissan,model c,-0.7967319467527691,-1.1190426595829446,diesel,-0.4966376893017819,cvt,hatchback,white,third owner,10881.88,0.7967319467527562
chevrolet,model b,-0.21991243779149783,1.7270414752371135,petrol,-1.0160879003731134,manual,truck,gray,third owner,10904.51,0.21991243779148478
volkswagen,model d,1.3663412118519984,1.0217141123404965,hybrid,-0.3234876189446713,automatic,sedan,red,first owner,16267.7,-1.3663412118520115
honda,model e,-0.7967319467527691,-0.15006402381452572,diesel,1.2348630142693233,manual,truck,gray,third owner,11580.69,0.7967319467527562
chevrolet,model b,-1.3735514557140405,-0.31171942803215974,electric,1.3214380494478781,manual,sedan,blue,second owner,10726.98,1.3735514557140276
nissan,model d,0.06849731668913786,-1.0529331222729084,diesel,-0.4100626541232266,cvt,sedan,blue,first owner,13867.88,-0.06849731668915093
nissan,model c,0.6453168256504092,0.07100054621301102,diesel,-0.3234876189446713,cvt,coupe,black,first owner,15274.27,-0.6453168256504224
ford,model a,-1.5177563329543584,0.21771722180134384,petrol,1.4945881198049888,manual,coupe,white,third owner,7080.32,1.5177563329543455
mercedes,model d,-1.3735514557140405,-1.3113623974275241,petrol,0.1093875569481049,automatic,hatchback,blue,first owner,15557.55,1.3735514557140276
volkswagen,model e,0.06849731668913786,1.4319866818468925,electric,0.022812521769549583,manual,suv,blue,first owner,16414.41,-0.06849731668915093
hyundai,model a,-0.940936823993087,-0.0312814593023723,electric,1.0617129439122126,cvt,sedan,black,third owner,10481.15,0.9409368239930741
kia,model b,-0.6525270695124513,0.47074566370051396,petrol,1.3214380494478781,automatic,suv,white,first owner,10321.54,0.6525270695124383
hyundai,model b,-0.6525270695124513,-0.5444083080465829,petrol,-1.1026629355516686,manual,coupe,white,third owner,13624.41,0.6525270695124383
volkswagen,model d,-0.36411731503181566,1.0711204103770682,hybrid,-0.7563627948374475,cvt,sedan,white,third owner,8229.54,0.3641173150318026
nissan,model e,0.06849731668913786,1.249335985437559,electric,1.2348630142693233,manual,sedan,white,first owner,15749.09,-0.06849731668915093
mercedes,model a,-1.3735514557140405,1.1122287394383854,petrol,-0.3234876189446713,cvt,suv,white,second owner,10740.13,1.3735514557140276
hyundai,model c,1.2221363346116805,-1.1300112392628783,diesel,1.5811631549835439,automatic,suv,white,third owner,19108.2,-1.2221363346116938
ford,model a,-1.0851417012334048,-0.6573369892730325,hybrid,-0.7563627948374475,automatic,suv,black,first owner,9210.49,1.085141701233392
ford,model a,0.5011119484100913,0.5433767369724238,diesel,0.28253762730521514,automatic,suv,red,third owner,13678.9,-0.5011119484101045
nissan,model a,-1.6619612101946761,1.164496406087114,petrol,-1.7086881818015554,cvt,sedan,gray,first owner,6269.86,1.6619612101946633
