Make,Model,Year,Mileage,Fuel Type,Engine Size,Transmission,Body Type,Color,Owner History,Price,Age
Nissan,Model E,2017,251332,Petrol,4.5,Manual,Coupe,Red,First Owner,14851.03,6
Nissan,Model C,2011,70580,Petrol,1.4,Manual,Truck,Blue,First Owner,13565.59,12
BMW,Model A,2005,83278,Petrol,4.6,CVT,Coupe,Red,First Owner,16840.26,18
Nissan,Model D,2006,198874,Petrol,3.4,Automatic,Truck,Blue,Second Owner,7792.28,17
Volkswagen,Model C,2000,222409,Petrol,2.1,Automatic,Truck,Red,Second Owner,7043.94,23
Chevrolet,Model B,2018,194282,Electric,1.1,CVT,Truck,Black,Third Owner,17733.46,5
Toyota,Model C,2013,78208,Diesel,2.2,Automatic,SUV,Blue,First Owner,15783.71,10
Chevrolet,Model A,2011,84964,Hybrid,5.0,CVT,Hatchback,Blue,Second Owner,12405.62,12
Hyundai,Model E,2011,187848,Petrol,2.4,CVT,Sedan,Red,Third Owner,10730.29,12
Kia,Model D,2003,61463,Petrol,4.4,Manual,Truck,White,Second Owner,8262.12,20
Chevrolet,Model D,2020,269595,Diesel,4.6,Manual,Sedan,Red,Third Owner,15828.99,3
Volkswagen,Model A,2006,72647,Electric,3.9,Manual,Sedan,Blue,Second Owner,15331.02,17
Hyundai,Model A,2004,199591,Diesel,3.1,Manual,Coupe,Black,First Owner,6086.96,19
Ford,Model A,2012,31339,Hybrid,2.1,Manual,Truck,White,Third Owner,14105.39,11
Chevrolet,Model C,2018,179223,Petrol,1.2,CVT,Hatchback,Black,First Owner,16456.25,5
Hyundai,Model A,2013,251237,Electric,3.1,CVT,SUV,Blue,First Owner,13704.31,10
BMW,Model B,2022,22905,Hybrid,4.6,Automatic,Truck,Gray,Third Owner,25188.54,1
Chevrolet,Model A,2019,146501,Petrol,2.2,Automatic,Coupe,Red,Second Owner,16922.23,4
Honda,Model A,2023,102091,Petrol,1.8,Manual,Sedan,Red,Third Owner,20851.01,0
Chevrolet,Model C,2017,32228,Hybrid,3.4,Automatic,Coupe,Black,Third Owner,15124.84,6
Toyota,Model B,2002,274327,Hybrid,3.9,CVT,Hatchback,White,First Owner,5944.43,21
Honda,Model D,2007,159344,Petrol,1.8,Manual,SUV,Red,Third Owner,7309.8,16
BMW,Model C,2015,13420,Petrol,4.9,CVT,Coupe,Black,First Owner,20426.25,8
Ford,Model D,2006,219442,Hybrid,4.1,Automatic,Sedan,Black,Third Owner,9774.22,17
BMW,Model C,2014,203497,Petrol,2.7,Automatic,Truck,Gray,Third Owner,18010.05,9
Honda,Model E,2004,25772,Petrol,3.1,CVT,Coupe,Gray,Third Owner,9195.91,19
Honda,Model C,2008,122828,Diesel,3.1,Manual,SUV,Gray,Second Owner,12036.4,15
Kia,Model E,2023,196920,Hybrid,3.8,Manual,SUV,Gray,Second Owner,15004.78,0
Chevrolet,Model B,2014,84441,Electric,4.2,Automatic,Sedan,White,Second Owner,18918.53,9
Kia,Model C,2023,200798,Electric,1.2,Manual,Sedan,Black,Second Owner,21800.39,0
Honda,Model C,2014,246267,Diesel,1.8,Automatic,Sedan,White,First Owner,13041.66,9
BMW,Model B,2021,40122,Hybrid,4.1,Manual,Truck,Black,Third Owner,22497.01,2
Mercedes,Model E,2020,66684,Hybrid,4.8,Automatic,Sedan,Gray,Third Owner,22288.23,3
Honda,Model E,2013,99041,Diesel,2.0,Automatic,Hatchback,Black,Second Owner,14479.81,10
Hyundai,Model E,2007,37254,Petrol,4.4,CVT,Truck,Blue,Third Owner,12743.4,16
Toyota,Model D,2002,295622,Petrol,3.4,Automatic,SUV,Red,First Owner,5874.48,21
Nissan,Model A,2019,185426,Electric,1.1,CVT,Coupe,Black,Second Owner,19336.85,4
Ford,Model D,2018,80279,Petrol,4.1,Manual,SUV,Gray,Third Owner,16847.72,5
Mercedes,Model D,2015,267558,Hybrid,1.5,Automatic,Hatchback,Red,First Owner,17767.35,8
Nissan,Model D,2000,93478,Electric,4.0,Manual,Hatchback,Red,Second Owner,12609.19,23
Ford,Model D,2007,298620,Hybrid,3.5,Manual,Sedan,Black,First Owner,8628.0,16
Hyundai,Model D,2017,106520,Petrol,3.7,Manual,Sedan,Black,Third Owner,18879.8,6
Ford,Model D,2007,85645,Petrol,3.2,Automatic,Hatchback,Red,First Owner,10195.98,16
Ford,Model E,2015,48152,Hybrid,3.6,CVT,Coupe,White,Second Owner,15788.02,8
Kia,Model E,2023,119290,Diesel,4.3,Automatic,Coupe,White,Third Owner,19076.22,0
Honda,Model A,2003,118506,Electric,2.5,Automatic,Coupe,Red,Third Owner,11964.83,20
Kia,Model D,2018,216292,Electric,2.0,Automatic,Truck,Black,Third Owner,17059.23,5
Chevrolet,Model D,2018,34271,Hybrid,1.6,Manual,Sedan,Red,First Owner,16034.22,5
BMW,Model A,2002,116640,Diesel,2.8,Automatic,Truck,Gray,Second Owner,15400.54,21
Mercedes,Model E,2017,262644,Diesel,3.4,Manual,Coupe,Red,Second Owner,18146.58,6
Volkswagen,Model E,2020,147461,Petrol,3.2,CVT,Coupe,Red,Second Owner,18219.94,3
Mercedes,Model E,2011,37918,Hybrid,2.9,Automatic,Truck,Red,Third Owner,19348.44,12
Honda,Model A,2019,132130,Petrol,3.6,Automatic,Sedan,Gray,First Owner,19436.23,4
Nissan,Model C,2006,60152,Diesel,2.4,CVT,Hatchback,White,Third Owner,10881.88,17
Chevrolet,Model B,2010,298870,Petrol,1.8,Manual,Truck,Gray,Third Owner,10904.51,13
Volkswagen,Model D,2021,239710,Hybrid,2.6,Automatic,Sedan,Red,First Owner,16267.7,2
Honda,Model E,2006,141426,Diesel,4.4,Manual,Truck,Gray,Third Owner,11580.69,17
Chevrolet,Model B,2002,127867,Electric,4.5,Manual,Sedan,Blue,Second Owner,10726.98,21
Nissan,Model D,2012,65697,Diesel,2.5,CVT,Sedan,Blue,First Owner,13867.88,11
Nissan,Model C,2016,159968,Diesel,2.6,CVT,Coupe,Black,First Owner,15274.27,7
Ford,Model A,2001,172274,Petrol,4.7,Manual,Coupe,White,Third Owner,7080.32,22
Mercedes,Model D,2002,44021,Petrol,3.1,Automatic,Hatchback,Blue,First Owner,15557.55,21
Volkswagen,Model E,2012,274122,Electric,3.0,Manual,SUV,Blue,First Owner,16414.41,11
Hyundai,Model A,2005,151389,Electric,4.2,CVT,Sedan,Black,Third Owner,10481.15,18
Kia,Model B,2007,193497,Petrol,4.5,Automatic,SUV,White,First Owner,10321.54,16
Hyundai,Model B,2007,108350,Petrol,1.7,Manual,Coupe,White,Third Owner,13624.41,16
Volkswagen,Model D,2009,243854,Hybrid,2.1,CVT,Sedan,White,Third Owner,8229.54,14
Nissan,Model E,2012,258802,Electric,4.4,Manual,Sedan,White,First Owner,15749.09,11
Mercedes,Model A,2002,247302,Petrol,2.6,CVT,SUV,White,Second Owner,10740.13,21
Hyundai,Model C,2020,59232,Diesel,4.8,Automatic,SUV,White,Third Owner,19108.2,3
Ford,Model A,2004,98878,Hybrid,2.1,Automatic,SUV,Black,First Owner,9210.49,19
Ford,Model A,2015,199589,Diesel,3.3,Automatic,SUV,Red,Third Owner,13678.9,8
Nissan,Model A,2000,251686,Petrol,1.0,CVT,Sedan,Gray,First Owner,6269.86,23
Honda,Model C,2004,31056,Petrol,3.6,Automatic,Hatchback,Gray,Third Owner,10961.41,19
Hyundai,Model D,2022,127519,Diesel,4.5,Manual,Hatchback,Black,Second Owner,17673.19,1
Nissan,Model A,2003,36667,Electric,2.2,CVT,SUV,Black,Third Owner,13768.92,20
Nissan,Model D,2018,102756,Electric,4.3,CVT,Truck,White,Third Owner,19274.11,5
Chevrolet,Model D,2014,286413,Petrol,3.2,Manual,Hatchback,Blue,Third Owner,10862.07,9
BMW,Model C,2003,60379,Petrol,4.9,CVT,Truck,White,Third Owner,14701.88,20
Hyundai,Model C,2006,41542,Diesel,2.0,CVT,Coupe,Black,Second Owner,12639.96,17
Volkswagen,Model B,2002,241437,Hybrid,4.4,CVT,Sedan,Black,Third Owner,8469.22,21
Volkswagen,Model D,2002,187935,Hybrid,4.2,Manual,Hatchback,Red,Third Owner,7531.1,21
Hyundai,Model C,2003,111288,Electric,2.1,Automatic,Truck,Blue,First Owner,14836.19,20
Mercedes,Model C,2000,34241,Hybrid,1.8,Manual,SUV,White,Second Owner,12888.51,23
Mercedes,Model A,2001,134021,Petrol,3.1,CVT,SUV,Red,Second Owner,13214.43,22
BMW,Model C,2022,282564,Electric,4.5,Automatic,Coupe,Black,Second Owner,24357.11,1
Mercedes,Model B,2011,71625,Hybrid,3.6,Automatic,Sedan,Red,Third Owner,19778.05,12
Toyota,Model A,2011,177969,Hybrid,1.2,Automatic,Sedan,Black,Third Owner,9286.54,12
Ford,Model D,2016,59460,Electric,4.6,Manual,SUV,Black,Second Owner,18467.7,7
Hyundai,Model A,2011,147017,Diesel,2.4,Manual,Hatchback,Blue,Second Owner,12951.0,12
Honda,Model D,2018,150789,Diesel,1.5,CVT,SUV,Gray,First Owner,15836.89,5
Kia,Model C,2008,50452,Hybrid,1.9,CVT,Sedan,Blue,Third Owner,12493.99,15
Hyundai,Model D,2000,171137,Petrol,1.7,CVT,SUV,Gray,Third Owner,7332.65,23
Mercedes,Model D,2010,216556,Hybrid,3.3,Automatic,Coupe,Red,Third Owner,15283.86,13
BMW,Model A,2005,21226,Electric,4.2,CVT,Truck,Gray,Third Owner,20809.23,18
Hyundai,Model C,2010,90042,Hybrid,3.6,Manual,Sedan,Black,Second Owner,11595.53,13
Ford,Model B,2018,137990,Diesel,1.1,Manual,Coupe,White,Third Owner,16585.25,5
Chevrolet,Model A,2017,59250,Petrol,4.2,CVT,Truck,Blue,Second Owner,18035.8,6
Kia,Model C,2002,30582,Petrol,1.2,CVT,Hatchback,White,First Owner,8215.68,21
Mercedes,Model B,2011,206587,Petrol,1.3,Manual,Truck,Red,First Owner,16957.19,12
Nissan,Model B,2010,293324,Electric,3.7,CVT,Hatchback,Black,Second Owner,11955.21,13
Ford,Model A,2021,188661,Diesel,1.9,Manual,SUV,Gray,Third Owner,15575.15,2
BMW,Model B,2002,57903,Diesel,4.5,CVT,Coupe,Gray,First Owner,12609.2,21
Ford,Model C,2001,255509,Diesel,1.1,Manual,SUV,Blue,First Owner,4644.24,22
Chevrolet,Model A,2017,226149,Electric,2.7,Manual,Hatchback,Red,Second Owner,16978.8,6
Toyota,Model D,2011,157108,Electric,1.2,CVT,Truck,Red,Third Owner,15335.04,12
Chevrolet,Model A,2000,112837,Hybrid,4.7,Manual,Sedan,Blue,Third Owner,6850.66,23
Chevrolet,Model A,2001,166237,Petrol,3.4,Automatic,Truck,Blue,Third Owner,4348.29,22
Volkswagen,Model A,2021,158290,Diesel,3.0,Automatic,Hatchback,White,First Owner,17648.16,2
Mercedes,Model A,2014,186115,Diesel,1.7,Automatic,Coupe,Gray,Second Owner,17323.98,9
Honda,Model D,2000,254239,Diesel,1.8,Automatic,SUV,Black,First Owner,5007.79,23
BMW,Model A,2006,91750,Electric,1.8,CVT,Sedan,Red,Second Owner,21441.06,17
Ford,Model D,2016,297561,Diesel,2.8,Automatic,Coupe,Blue,Third Owner,14759.68,7
Honda,Model A,2023,272044,Hybrid,1.0,Manual,Truck,Gray,Second Owner,18567.52,0
Toyota,Model B,2000,140977,Electric,3.1,Manual,Sedan,White,First Owner,10339.26,23
Kia,Model D,2012,298138,Diesel,1.6,Automatic,Hatchback,Red,Second Owner,12519.13,11
Ford,Model A,2008,42618,Petrol,2.6,CVT,Coupe,Blue,Second Owner,14241.34,15
Hyundai,Model D,2014,186884,Electric,1.7,Automatic,Truck,Black,First Owner,16184.81,9
Nissan,Model C,2017,112066,Hybrid,2.5,Automatic,Hatchback,White,Third Owner,17372.15,6
BMW,Model B,2002,110313,Diesel,5.0,Manual,Hatchback,Gray,First Owner,16266.05,21
Honda,Model E,2017,72696,Hybrid,2.8,CVT,Hatchback,Black,First Owner,18951.81,6
Hyundai,Model C,2002,73868,Diesel,3.0,CVT,Hatchback,Black,Third Owner,7801.19,21
BMW,Model D,2020,212975,Electric,1.2,Automatic,Sedan,Gray,Third Owner,21687.09,3
BMW,Model B,2022,186122,Diesel,1.4,Automatic,Sedan,Red,Third Owner,21729.52,1
Ford,Model A,2011,215222,Petrol,3.6,CVT,Coupe,Blue,First Owner,10713.66,12
BMW,Model B,2013,295529,Petrol,1.2,Manual,Hatchback,Blue,Second Owner,16191.01,10
Volkswagen,Model A,2023,193917,Petrol,4.2,Automatic,Truck,Red,Third Owner,16597.57,0
Kia,Model C,2018,58585,Diesel,1.4,CVT,Truck,Blue,First Owner,18624.98,5
Hyundai,Model A,2023,125932,Petrol,1.7,CVT,Coupe,Black,Second Owner,19767.87,0
Toyota,Model A,2020,20109,Petrol,4.2,Manual,Truck,Red,Second Owner,18208.44,3
Volkswagen,Model A,2001,92057,Hybrid,4.8,CVT,Hatchback,Gray,Third Owner,8690.35,22
Honda,Model E,2021,110701,Electric,3.4,Manual,Hatchback,White,Second Owner,20651.97,2
Hyundai,Model A,2000,11115,Petrol,4.9,Automatic,Hatchback,Red,Second Owner,7700.12,23
Toyota,Model E,2015,73877,Electric,2.1,Automatic,Hatchback,Blue,First Owner,17729.31,8
Volkswagen,Model E,2004,159848,Petrol,2.2,Automatic,Hatchback,Red,Third Owner,7366.68,19
Nissan,Model D,2013,225501,Electric,4.8,Manual,Truck,White,First Owner,14723.92,10
Ford,Model C,2010,77973,Diesel,3.6,Manual,Hatchback,Black,First Owner,14791.81,13
Mercedes,Model C,2022,134274,Electric,3.3,CVT,Coupe,Blue,First Owner,28510.65,1
Mercedes,Model C,2001,289488,Petrol,3.7,CVT,Sedan,Blue,First Owner,9941.8,22
Honda,Model C,2001,73114,Hybrid,3.4,Manual,Hatchback,Blue,First Owner,8630.19,22
Volkswagen,Model A,2022,243427,Electric,1.7,CVT,SUV,Blue,Third Owner,18727.13,1
Mercedes,Model C,2022,233097,Hybrid,3.9,Manual,Coupe,Black,Second Owner,23178.91,1
Mercedes,Model A,2011,143882,Hybrid,4.8,Automatic,SUV,Red,Second Owner,18691.29,12
Toyota,Model A,2012,252897,Petrol,1.8,Manual,Truck,Black,Third Owner,12501.72,11
Honda,Model D,2002,125915,Diesel,1.9,Automatic,Coupe,Blue,Third Owner,8546.12,21
Toyota,Model C,2016,135342,Petrol,1.8,Manual,Hatchback,Blue,Second Owner,18175.38,7
Hyundai,Model A,2015,120778,Petrol,3.4,CVT,Sedan,Black,Third Owner,16541.41,8
Kia,Model A,2010,34258,Petrol,3.7,Automatic,Truck,White,Second Owner,13734.35,13
Toyota,Model A,2005,194404,Electric,1.7,CVT,Hatchback,Black,First Owner,9788.32,18
Toyota,Model C,2019,230418,Hybrid,2.7,Manual,Coupe,Blue,Second Owner,16884.46,4
